P16150	Q9BZZ2
Q15116	Q9NZQ7
Q9HCJ2	Q9Y2I2
P05556|P13612	gene
P10747	gene
P57087	Q9BX67
P05107|P20701	Q15762
P05107|P20701	Q9Y624
P05107|P20701	P32942
gene	gene
P30203	Q13740
P33681	Q9NZQ7
P16284	P16284
Q7Z3B1	Q7Z3B1
P05107|P20701	P13598
Q02246	Q02246|Q9UHC6
P05556|P13612	P19320
Q12860	Q92823
Q96CW9	Q9HBW1
Q15223	Q15223
O94856	P78357|Q12860
P32004	Q02246
Q15223	Q9NQS3
Q5DX21	Q9H7M9
O15394|P13591	O15394|P13591
O15394|P13591	P32004
P10747	P42081
P05107|P20701	P05362|P13598|P32942
P33151	P33151
P22223	P22223
P08575	P20273
P13612|P26010	P19320
P20916	P20916
Q495A1	Q9NQS3
O95297|P25189	O95297|P25189
Q8N126	Q8N126
P28827	P28827
P05107|P11215	Q9BX67
P55283	P55283
P28906	gene
Q15762	Q92692
P19022	P19022
P16109	Q14242
P14151	Q13477
A6NM45|C9JDP6|O00501|O14493|O15551|O75508|O95471|O95484|O95500|O95832|P56746|P56747|P56748|P56750|P56856|P56880|P57739|P78369|Q8N6F1|Q8N7P3|Q96B33|Q9Y5I7	A6NM45|C9JDP6|O00501|O14493|O15551|O75508|O95471|O95484|O95500|O95832|P56746|P56747|P56748|P56750|P56856|P56880|P57739|P78369|Q8N6F1|Q8N7P3|Q96B33|Q9Y5I7
P57087	Q9Y624
Q15762	gene
Q16625	Q16625
P12830	P12830
P05556|Q13797	P19320
P14209|Q8TCZ2	P14209|Q8TCZ2
Q9Y6W8	gene
Q9BX67	gene
P32004	P32004
Q96AP7	Q96AP7
P10586	Q9NT99
P25942	P29965
P15151	Q495A1
P15151	Q15762
P01730	P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154
Q02246	gene
Q15116	Q9BQ51
Q9Y624	Q9Y624
P55291	P55291
Q9BX67	Q9BX67
P01732|P10966	P01889|P04439|P10321|P13747|P17693|P30511
P58400|Q9HDB5|Q9P2S2	Q8N0W4|Q8N2Q7|Q8NFZ3|Q8NFZ4|Q9NZ94
Q92692	Q9NQS3
P05107|P11215	P13598
P05107|P11215	P05362
P05107|P20701	P05362
P16581	Q92896
P10747	P33681
O75144	P16410
P06729	P19256
P13612|P26010	gene
Q9BY67	Q9BY67
