#tail	head
PBXIP1	SERPINH1
ESD	GART
SLC8A3	CHRNA4
TTC1	GARS
SLC9A8	CHRNA4
GARS	HLA-B
CAST	BAG6
SLC20A2	SLC4A4
OR51A2	RTP5
GART	PFAS
GART	ALDH1L2
KCNG4	KCNB2
TGOLN2	APP
TGOLN2	RRP1B
TGOLN2	HSPA1A
SLC30A1	HSPA1A
IGF2	PTK2
IGF2	BECN1
IGF2	AHR
IGF2	HSPA1A
IGF2	HCAR2
IGF2	APP
IGF2	PHB2
GCG	HCAR2
PHB2	SEPT2
HIST1H4E	APP
OR6C76	REEP4
SERPINH1	XRCC5
SERPINH1	HSPA1B
SERPINH1	BAG6
HSPA1B	SNCA
HSPA1B	CCS
HSPA1B	ACTG1
HSPA1B	SEPT2
HTR3C	ARL6IP5
PTK2	ATG16L1
RTP5	OR52E6
RTP1	OR52E6
OR52E6	REEP4
XRCC5	SEPT2
XRCC5	HSPA1A
HSPA1A	SEPT2
HSPA1A	ACTG1
ARL6IP5	NEFL
CHRNA4	NEFL
NEFL	APP
SLC51A	APP
