#tail	head
RPL9	RPS20
TLR6	BCKDK
CCT3	SAFB
CCT3	NOTCH1
CCT3	SEC13
CCT3	GLYR1
ST8SIA4	REPIN1
WNT16	AGTR1
WNT16	GRM1
CAND1	U2AF1
CAND1	NOTCH1
CAND1	CDC5L
CAND1	HIST1H4B
CAND1	MMP2
CAND1	KRR1
CAND1	MRTO4
RBAK	ZNF330
MMP2	RET
MMP2	GSTO1
MMP2	NOTCH1
MMP2	LDLR
HIST2H3D	CENPB
HIST2H3D	HIST1H2BC
HIST2H3D	POLR2K
HIST2H3D	HIST1H3G
HIST2H3D	HOXD3
HIST2H3D	SMARCA2
HIST2H3D	CREBBP
HOXB2	HIST1H2BC
HOXB2	HIST1H4B
HOXB2	HIST1H3G
ZNF330	MDFI
RNASEL	RELA
HNRNPL	CREBBP
HNRNPL	GLYR1
SEC13	GLYR1
SEC13	HLA-C
SEC13	SAFB
SEC13	HLA-DRB1
MTMR2	PLA2G4D
TRIP10	PPARA
PRKACG	GDNF
PRKACG	REPIN1
KRR1	MTREX
KRR1	HIST1H3D
KRR1	MRTO4
CEBPA	NOTCH1
CEBPA	MSH5
CEBPA	HOXA10
CEBPA	MRTO4
CEBPA	SMARCA2
TLE1	SMARCA2
TLE1	RAD50
TLE1	RELA
TLE1	HIST1H3G
DPM2	PIGY
DPM2	UAP1
DPM2	GCNT2
DPM2	DPAGT1
DPM2	ABO
HIST1H4B	CENPB
HIST1H4B	PHF8
HIST1H4B	NCOR1
HIST1H4B	HIST1H2BC
HIST1H4B	POLR2K
HIST1H4B	CD3EAP
NCOR1	PPARA
NCOR1	HIST1H2BC
NCOR1	SAFB
NCOR1	ZEB1
NCOR1	RELA
NCOR1	SMARCA2
NCOR1	HIST1H3G
HOXA10	MYOG
INTS8	CDC5L
IL36RN	ZKSCAN4
RPS20	GLYR1
BCL7A	ZEB1
PIGY	DPAGT1
PIGY	SACM1L
MORF4L1	CDC5L
GNRH1	ZEB1
GNRH1	ORM2
GNRH1	AGTR1
GNRH1	RELA
UPRT	GLYR1
U2AF1	CDC5L
U2AF1	GSTT1
NABP2	ZC3H8
NABP2	CCNK
GSTT1	GSTO1
GSTT1	LDLR
HIST1H3D	GLYR1
HIST1H3D	CD3EAP
HIST1H3D	ZEB1
BCKDK	RELA
GSTM3	LDLR
GSTO1	RELA
CD3EAP	RELA
CD3EAP	HIST1H3G
CD3EAP	POLR2K
PPARA	CTGF
PPARA	LDLR
PPARA	HOXD3
CTGF	RELA
DPAGT1	UAP1
DPAGT1	GCNT2
UAP1	GCNT2
ABO	XYLT2
EEF1AKNMT	SIGLEC5
EEF1AKNMT	MTREX
ZEB1	REPIN1
ZEB1	XYLT2
ZEB1	HOXD3
ZEB1	PTPN2
ZEB1	AGR2
ZEB1	HIST1H3G
ZEB1	CREBBP
HOXD3	REPIN1
HOXD3	HIST1H2BC
HOXD3	POLR2K
GDNF	AGTR1
RELA	LDLR
RELA	CREBBP
TAF8	CCNK
HIST1H2BC	PHF8
HIST1H2BC	HIST1H3G
HIST1H2BC	RNASEH2A
HIST1H3G	RAD50
HIST1H3G	PHF8
HIST1H3G	SMARCA2
HIST1H3G	NOTCH1
LDLR	AGTR1
SACM1L	PLA2G4D
RAD50	POLR2K
RAD50	CDC5L
REPIN1	SMARCA2
NOTCH1	CREBBP
NOTCH1	PHF8
CCNK	POLR2K
POLR2K	CDC5L
