#tail	head
LAMP1	SEC16A
FAM209A	BNIP3
CHST15	CANX
RAC1	DVL3
RAC1	CD28
RAC1	FGF10
RAC1	IGHV3-53
RAC1	WASL
RAC1	ESR1
RAC1	NTRK1
RAC1	HDAC7
RAC1	IGHV4-39
NME5	GYS2
NME5	SLC1A1
NME5	PKM
IGKV2-30	IGHV3-53
IGKV2-30	GNGT1
IGKV2-30	PIK3CB
IGKV2-30	VAV2
IGKV2-30	IGHV4-39
IGKV2-30	DVL3
SLC9A8	SLC27A4
GFI1	CHRDL1
ESR1	COPS5
ESR1	LEFTY1
ESR1	HDAC3
ESR1	PITPNA
ESR1	NOL4
ESR1	GNB4
ESR1	IGLC6
ESR1	DVL3
ESR1	TCF3
ESR1	SMARCA4
ESR1	HIST1H2BC
ESR1	CD28
CUL3	RPL4
CUL3	DVL3
CUL3	NTRK1
CUL3	SMARCA4
CUL3	RPL9P9
CUL3	HIST1H4J
CUL3	PKM
CUL3	CANX
CUL3	CDC37
CUL3	RPL21
CUL3	TARS2
CUL3	RPS2
RPAP3	CDC37
PDK1	YWHAQ
PDK1	SGK1
PPP2R2D	PPP2R5D
CRY2	NCL
CRY2	PPP2R5D
CRY2	CLOCK
CRY2	KRTAP5-9
SLC27A4	LEFTY1
SLC27A4	PLA2G10
ELMSAN1	FOXA1
CCNB1	FBF1
CCNB1	GSK3B
CCNB1	MAX
LIPT1	PKM
LIPT1	PDE10A
HDAC7	NR2E1
HDAC7	FOXA1
CANX	COPG1
CANX	HLA-F
CANX	SP1
RHOU	INS
WASL	TCF3
WASL	AP2A1
WASL	DVL3
BARD1	RHNO1
BARD1	USP7
VAV2	PIP5K1A
VAV2	FGFR4
VAV2	PIK3CB
VAV2	DVL3
INS	NTRK1
INS	FOXA1
INS	TPD52L2
INS	GSK3A
INS	SMG5
INS	TLE3
INS	AP2A1
INS	YKT6
INS	SDHA
USP7	PKM
USP7	SMN1
USP7	COPS5
USP7	HDAC3
USP7	NTRK1
USP7	MNAT1
USP7	ATP6V1D
LEFTY2	TGFBR2
ILF3	COPS5
ILF3	NCL
ILF3	MAX
ILF3	RPL4
ILF3	NTRK1
ILF3	YWHAE
ILF3	FLOT1
KRT12	IRF8
KRT12	KRT82
HDGF	NTRK1
HDGF	HIST1H2BC
ERH	CHCHD3
ERH	FLOT1
ERH	NCL
ERH	ALPP
TXK	IGHV4-39
TXK	IL1RAP
TXK	PTP4A1
TXK	IGLC6
RPL21	RPL9P9
RPL21	RPL36
LAMTOR2	ESR2
SGK1	RABAC1
SGK1	FOXA1
SGK1	YWHAQ
FGF10	CD28
FGF10	ESR2
FGF10	IGLC6
KCNH3	TCF3
PIK3CB	TGFBR2
PIK3CB	DVL3
PIK3CB	BLNK
PIK3CB	IGHV3-53
PIK3CB	IGLC6
PIK3CB	HCK
CHPT1	PLA2G10
CHPT1	ESR2
CHPT1	SLC1A1
RPL4	NTRK1
RPL4	SMN1
RPL4	YWHAE
RPL4	GSK3A
RPL4	NCL
RPL4	COPS5
RPL4	RPL9P9
RPL4	RPL36
YWHAQ	ESR2
YWHAQ	FLOT1
YWHAQ	GSK3A
YWHAQ	HDAC3
YWHAQ	SP1
YWHAQ	TPD52L2
YWHAQ	KRT17
IL1RAP	CD28
IL1RAP	GNGT1
IL1RAP	PIP5K1A
ZFPL1	BET1
ZFPL1	ESR2
GNGT1	GNB4
GNGT1	IGHV3-53
GNGT1	GLP2R
FGFR4	CDC37
FGFR4	BLNK
FGFR4	PTP4A1
FGFR4	GNB4
FGFR4	DVL3
TLE3	HDAC3
TLE3	NTRK1
TLE3	FOXA1
FOXK1	HIST1H2AI
FOXK1	MAX
DVL3	GSK3B
DVL3	BLNK
DVL3	PPP2R5D
DVL3	ESR2
DVL3	CDC37
DVL3	PITPNA
TIAL1	THY1
TIAL1	ESR2
CMTM3	RABAC1
LSAMP	GPLD1
TPD52	TPD52L2
RPS2	HIST1H2AI
RPS2	NCL
RPS2	RPL36
RPS2	MAX
KRTAP10-9	HCK
KRTAP10-9	KRTAP5-9
SMN1	COPG1
SMN1	FLOT1
ESR2	CHCHD3
ESR2	SDHA
ESR2	GNB4
ESR2	IGHV4-39
ESR2	BNIP3
ESR2	TRIM47
ESR2	IGHV3-53
ESR2	PRPH
ESR2	SIRT3
ESR2	HIST1H2AI
ESR2	IGLC6
ESR2	PLK1
CKS1B	PSMB10
CKS1B	COPS5
PKM	GSK3B
RPL9P9	COPS5
RPL9P9	NTRK1
NRIP1	HDAC3
PIP5K1A	GNB4
PIP5K1A	IGHV4-39
PIP5K1A	CDC37
PIP5K1A	IGLC6
PIP5K1A	PPP2R5D
CNIH1	SHISA4
RABAC1	CYBRD1
RABAC1	NIF3L1
ALPP	CD28
YWHAE	NTRK1
YWHAE	PLK1
PITPNA	SP1
COPG1	NTRK1
COPG1	FOXA1
PDE10A	LEFTY1
CHCHD3	TCF3
CHCHD3	SP1
NTRK1	CKAP4
NTRK1	PTP4A1
NTRK1	SDHA
NTRK1	AP2A1
NCL	SP1
PSMA7	TAP2
PAFAH1B2	TPD52L2
FLOT1	FBF1
FLOT1	SDHA
FLOT1	HIST1H4J
FLOT1	COPS5
SP1	HDAC3
SP1	NOL4
SP1	CDC37
SP1	GSK3B
PTP4A1	HCK
BRF1	TAF9B
GSK3B	XPNPEP1
GSK3B	CDC37
GSK3B	COPS5
GSK3B	CLOCK
PPP2R5D	PLK1
PPP2R5D	TPD52L2
TAP2	TCTN3
PLK1	CDC26
PLK1	FBF1
GGPS1	FOXD4L6
TARS2	CDC37
KRT17	FOXA1
KRT17	AP2A1
KRT17	TCF3
TFEB	TCF3
TCTN3	FBF1
HTR3E	SLC1A1
SDHA	IKBKE
SMARCA4	IKBKE
SMARCA4	CDYL
TCF3	CHD2
TCF3	NR2E1
BET1	YKT6
TGFBR2	LEFTY1
TGFBR2	HIST1H4J
MAX	HIST1H2BC
MAX	HIST1H2AI
MAX	RHEB
HIST1H2BC	FOXA1
HIST1H2BC	IKBKE
HIST1H2BC	LEO1
HIST1H2BC	HIST1H2AI
CHD2	FOXA1
IKBKE	CDC37
IGHV3-53	GNB4
IGHV3-53	IGLC6
HCK	IGHV4-39
HIST1H4J	CLOCK
GLP2R	FOXA1
CDC37	GNB4
UQCRH	SIRT3
IGLC6	IGHV4-39
CD28	IGHV4-39
