#tail	head
POLA2	ZBBX
NEK7	ANKS6
NEK7	DDB1
NEK7	ANKS3
NEK7	RRP36
RRP36	RPS2
RRP36	RPS8
RRP36	NOC4L
RRP36	RPS6
ZBBX	FREM2
DET1	UBE2E2
DET1	DDB1
DET1	COPS5
SNRPB2	EZH2
SNRPB2	U2AF1
SNRPB2	SART1
TIMM10	RPS2
TIMM10	SART1
TIMM10	ANKS6
DDB2	DDB1
DDB2	IKBKB
DDB2	EZH2
DDB2	COPS5
ANKS3	ANKS6
GSK3A	RPS8
GSK3A	U2AF1
GSK3A	SART1
RPS2	U2AF1
RPS2	COPS5
RPS2	RPS6
RPS2	RPS8
RPS2	NOC4L
RPS2	RACK1
INSR	RACK1
INSR	FAM19A4
COPS5	KBTBD7
COPS5	RPS6
COPS5	IKBKB
COPS5	RPS8
COPS5	RACK1
COPS5	DDB1
KBTBD7	UBE2E2
RPS6	U2AF1
RPS6	NOC4L
RPS6	RIOK2
RPS6	RACK1
RPS6	RPS8
RACK1	RPS8
RACK1	EZH2
RACK1	IKBKB
FAM19A4	FREM2
SART1	NOC4L
SART1	U2AF1
RPS8	NOC4L
RPS8	U2AF1
RPS8	RIOK2
U2AF1	EZH2
DDB1	EZH2
