#node1	node2	node1type	node2type	relation_type
Q8TC12|Q92781|Q96NR8	O94788|P00352|P47895	gene	gene	compound
P08684|P20815|P24462	P11509|P20813|Q96SQ9	gene	gene	compound
O43174	O14756|Q8N3Y7	gene	gene	compound
Q6NUM9	O43174	gene	gene	compound
P08684|P20815|P24462	O60656|O75310|O75795|P06133|P16662|P19224|P22309|P22310|P35503|P35504|P36537|P54855|Q6UWM9|Q9BY64|Q9HAW7|Q9HAW8|Q9HAW9|Q9Y4X1	gene	gene	compound
	Q4G0S4	gene	gene	compound
	P00325|P00326|P07327|P08319|P11766|P28332|P40394	gene	gene	compound
P10632|P11509|P11712|P20813|P33260|Q96SQ9	O43174|Q6V0L0|Q9NR63	gene	gene	compound
P00325|P00326|P07327|P08319|P11766|P28332|P40394	Q4G0S4	gene	gene	compound
	O75452|Q8IZV5|Q8TC12|Q96NR8|Q9NYR8	gene	gene	compound
P10632|P11509|P11712|P20813|P33260|Q96SQ9	P04798	gene	gene	compound
O14756|Q8N3Y7	Q4G0S4	gene	gene	compound
	O75911|Q9BPW9|Q9BTZ2	gene	gene	compound
P10632|P11509|P11712|P20813|P33260|Q96SQ9	P08684|P20815|P24462	gene	gene	compound
O75452|Q8IZV5|Q8TC12|Q96NR8|Q9NYR8	Q4G0S4	gene	gene	compound
	O95237	gene	gene	compound
P10632|P11509|P11712|P20813|P33260|Q96SQ9	Q02928|Q5TCH4	gene	gene	compound
O75911|Q9BPW9|Q9BTZ2	Q4G0S4	gene	gene	compound
	O75907|Q6E213	gene	gene	compound
P10632|P11509|P11712|P20813|P33260|Q96SQ9	P20815|P24462	gene	gene	compound
O95237	Q4G0S4	gene	gene	compound
	P41247	gene	gene	compound
P10632|P11509|P11712|P20813|P33260|Q96SQ9	O60656|O75310|O75795|P06133|P16662|P19224|P22309|P22310|P35503|P35504|P36537|P54855|Q6UWM9|Q9BY64|Q9HAW7|Q9HAW8|Q9HAW9|Q9Y4X1	gene	gene	compound
O75907|Q6E213		gene	gene	compound
O43174|Q6V0L0|Q9NR63	P11509|P20813|Q96SQ9	gene	gene	compound
P41247		gene	gene	compound
O43174|Q6V0L0|Q9NR63	P20815|P24462	gene	gene	compound
		gene	gene	compound
O43174|Q6V0L0|Q9NR63	O60656|O75310|O75795|P06133|P16662|P19224|P22309|P22310|P35503|P35504|P36537|P54855|Q6UWM9|Q9BY64|Q9HAW7|Q9HAW8|Q9HAW9|Q9Y4X1	gene	gene	compound
P04798	P11509|P20813|Q96SQ9	gene	gene	compound
P04798	P20815|P24462	gene	gene	compound
