#node1	node2	edge_expansion:relation_type
A8MT69	Q8IYD8	mult_mapping_expansion:binding/association
O15287	O15360	group_expansion
O15287	Q00597	group_expansion
O15287	Q0VG06	group_expansion
O15287	Q14469	group_expansion
O15287	Q8IYD8	group_expansion
O15287	Q8NB91	group_expansion
O15287	Q9BTP7	group_expansion
O15287	Q9HB96	group_expansion
O15287	Q9NPD8	group_expansion
O15287	Q9NPI8	group_expansion
O15287	Q9NVI1	mult_mapping_expansion:ubiquitination
O15287	Q9NW38	group_expansion
O15360	O15287	group_expansion
O15360	Q00597	group_expansion
O15360	Q0VG06	group_expansion
O15360	Q14469	group_expansion
O15360	Q8IYD8	group_expansion
O15360	Q8NB91	group_expansion
O15360	Q9BTP7	group_expansion
O15360	Q9HB96	group_expansion
O15360	Q9NPD8	group_expansion
O15360	Q9NPI8	group_expansion
O15360	Q9NVI1	mult_mapping_expansion:ubiquitination
O15360	Q9NW38	group_expansion
O94782	Q8TAF3	group_expansion
O94782	Q9NW38	mult_mapping_expansion:inhibition
P15927	P54132	mult_mapping_expansion:binding/association
P15927	Q96E14	mult_mapping_expansion:binding/association
P15927	Q9H9A7	mult_mapping_expansion:binding/association
P27694	P54132	mult_mapping_expansion:binding/association
P27694	Q96E14	mult_mapping_expansion:binding/association
P27694	Q9H9A7	mult_mapping_expansion:binding/association
P35244	P54132	mult_mapping_expansion:binding/association
P35244	Q96E14	mult_mapping_expansion:binding/association
P35244	Q9H9A7	mult_mapping_expansion:binding/association
P40692	P54278	group_expansion
P51587	O43502	mult_mapping_expansion:activation
P51587	Q06609	one_to_one_mapping:activation
P51587	Q86YC2	group_expansion
P51587	Q9BX63	mult_mapping_expansion:binding/association
P54132	P15927	mult_mapping_expansion:binding/association
P54132	P27694	mult_mapping_expansion:binding/association
P54132	P35244	mult_mapping_expansion:binding/association
P54132	Q13156	mult_mapping_expansion:binding/association
P54132	Q8IYD8	mult_mapping_expansion:binding/association
P54132	Q96E14	group_expansion
P54132	Q9H9A7	group_expansion
P54278	P40692	group_expansion
Q00597	O15287	group_expansion
Q00597	O15360	group_expansion
Q00597	Q0VG06	group_expansion
Q00597	Q14469	group_expansion
Q00597	Q8IYD8	group_expansion
Q00597	Q8NB91	group_expansion
Q00597	Q9BTP7	group_expansion
Q00597	Q9HB96	group_expansion
Q00597	Q9NPD8	group_expansion
Q00597	Q9NPI8	group_expansion
Q00597	Q9NVI1	mult_mapping_expansion:ubiquitination
Q00597	Q9NW38	group_expansion
Q0VG06	O15287	group_expansion
Q0VG06	O15360	group_expansion
Q0VG06	Q00597	group_expansion
Q0VG06	Q14469	group_expansion
Q0VG06	Q8IYD8	group_expansion
Q0VG06	Q8NB91	group_expansion
Q0VG06	Q9BTP7	group_expansion
Q0VG06	Q9HB96	group_expansion
Q0VG06	Q9NPD8	group_expansion
Q0VG06	Q9NPI8	group_expansion
