#node1	node2	node1type	node2type	relation_type
Q9HB71	P63208	gene	gene	binding/association
P63208	Q9HB71	gene	gene	binding/association
O00744|O00755|O14904|O14905|O96014|P04628|P09544|P41221|P56703|P56704|P56705|P56706|Q93097|Q93098|Q9GZT5|Q9H1J5|Q9H1J7|Q9UBV4|Q9Y6F9	O75197|O75581	gene	gene	activation
Q13145	O75197|O75581	gene	gene	activation|binding/association
Q13145	O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	gene	gene	activation|binding/association
Q13145	O14640|O14641|Q92997	gene	gene	activation
Q8IUQ4		gene	gene	binding/association
	Q8IUQ4	gene	gene	binding/association
Q9BQB4	O75197|O75581	gene	gene	inhibition
P36955	O75197|O75581	gene	gene	inhibition
Q6P988	O00744|O00755|O14904|O14905|O96014|P04628|P09544|P41221|P56703|P56704|P56705|P56706|Q93097|Q93098|Q9GZT5|Q9H1J5|Q9H1J7|Q9UBV4|Q9Y6F9	gene	gene	inhibition
Q8IUQ4	P35222	gene	gene	binding/association
P35222	Q8IUQ4	gene	gene	binding/association
Q9Y283	O14640|O14641|Q92997	gene	gene	binding/association
O14640|O14641|Q92997	Q9Y283	gene	gene	binding/association
O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	O75487	gene	gene	binding/association
O75487	O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	gene	gene	binding/association
Q9UKB1|Q9Y297	P63208	gene	gene	binding/association
P63208	Q9UKB1|Q9Y297	gene	gene	binding/association
O95996|P25054		gene	gene	binding/association
	O95996|P25054	gene	gene	binding/association
P63208	Q13616	gene	gene	binding/association
Q13616	P63208	gene	gene	binding/association
O75474|Q92837	O14640|O14641|Q92997	gene	gene	binding/association
O14640|O14641|Q92997	O75474|Q92837	gene	gene	binding/association
P49841		gene	gene	inhibition|phosphorylation
	P62877	gene	gene	binding/association
P62877		gene	gene	binding/association
P49841	O75474|Q92837	gene	gene	binding/association
O75474|Q92837	P49841	gene	gene	binding/association
	O60907|Q9BQ87|Q9BZK7	gene	gene	binding/association
O60907|Q9BQ87|Q9BZK7		gene	gene	binding/association|ubiquitination
O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	Q01973|Q01974	gene	gene	binding/association
Q01973|Q01974	O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	gene	gene	binding/association
O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	P34925	gene	gene	binding/association
P34925	O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	gene	gene	binding/association
Q2I0M5|Q2MKA7|Q6UXX9|Q9BXY4	Q68DV7	gene	gene	inhibition
Q2I0M5|Q2MKA7|Q6UXX9|Q9BXY4	Q9ULT6	gene	gene	inhibition
O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	Q00722|Q01970|Q15147|Q9NQ66	gene	gene	indirect effect
P41221|Q9H1J7	O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	gene	gene	activation
Q68DV7	O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	gene	gene	inhibition
O14640|O14641|Q92997	O43900|Q2TBC4|Q7Z3G6|Q96MT3	gene	gene	binding/association
O43900|Q2TBC4|Q7Z3G6|Q96MT3	O14640|O14641|Q92997	gene	gene	binding/association
Q5T4F7|Q6FHJ7|Q8N474|Q96HF1	O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	gene	gene	inhibition
