#node1	node2	node1type	node2type	relation_type
P01730	P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154	gene	gene	binding/association
P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154	P01730	gene	gene	binding/association
P28068	P04233	gene	gene	activation
P07711|P07858|P25774	P04233	gene	gene	activation
Q99538	P04233	gene	gene	activation
O15533	P01889|P04439|P10321|P13747|P17693|P30511	gene	gene	binding/association
P01889|P04439|P10321|P13747|P17693|P30511	O15533	gene	gene	binding/association
O15533	Q03518|Q03519	gene	gene	binding/association
Q03518|Q03519	O15533	gene	gene	binding/association
P01579	P61289|Q06323|Q9UL46	gene	gene	activation
P01375	P61289|Q06323|Q9UL46	gene	gene	activation
P33076	O00287|O14593|P48382	gene	gene	activation
P33076	P16220	gene	gene	activation
	P23511|P25208|Q13952	gene	gene	activation
P01889|P04439|P10321|P13747|P17693|P30511	O43908|P26715|P26717|P43626|P43627|P43628|P43629|P43630|P43631|P43632|Q07444|Q13241|Q14952|Q14953|Q14954|Q8N109|Q99706	gene	gene	activation
P01732|P10966	P01889|P04439|P10321|P13747|P17693|P30511	gene	gene	binding/association
P01889|P04439|P10321|P13747|P17693|P30511	P01732|P10966	gene	gene	binding/association
