#node1	node2	edge_expansion:relation_type
O94808	O94925	mult_mapping_expansion:compound
O94808	P15104	mult_mapping_expansion:compound
O94808	Q9UI32	mult_mapping_expansion:compound
O94925	P00367	mult_mapping_expansion:compound
O94925	P15104	mult_mapping_expansion:compound
O94925	P49448	mult_mapping_expansion:compound
O94925	Q05329	mult_mapping_expansion:compound
O94925	Q99259	mult_mapping_expansion:compound
P00367	Q05329	mult_mapping_expansion:compound
P00367	Q99259	mult_mapping_expansion:compound
P00367	Q9NQR4	mult_mapping_expansion:compound
P00966	P00505	mult_mapping_expansion:compound
P00966	P17174	mult_mapping_expansion:compound
P00966	P30520	mult_mapping_expansion:compound
P00966	Q8N142	mult_mapping_expansion:compound
P04424	P30566	one_to_one_mapping:compound
P15104	P00367	mult_mapping_expansion:compound
P15104	P49448	mult_mapping_expansion:compound
P15104	Q05329	mult_mapping_expansion:compound
P15104	Q99259	mult_mapping_expansion:compound
P27708	P08243	one_to_one_mapping:compound
P30038	O94925	mult_mapping_expansion:compound
P30038	P15104	one_to_one_mapping:compound
P30038	Q9UI32	mult_mapping_expansion:compound
P30520	P00505	mult_mapping_expansion:compound
P30520	P17174	mult_mapping_expansion:compound
P31327	O94925	mult_mapping_expansion:compound
P31327	Q9UI32	mult_mapping_expansion:compound
P49448	Q05329	mult_mapping_expansion:compound
P49448	Q99259	mult_mapping_expansion:compound
P49448	Q9NQR4	mult_mapping_expansion:compound
P51649	P80404	one_to_one_mapping:compound
P80404	Q05329	mult_mapping_expansion:compound
P80404	Q99259	mult_mapping_expansion:compound
Q04609	Q8IXN7	one_to_one_mapping:compound
Q06203	P27708	one_to_one_mapping:compound
Q06210	O94925	mult_mapping_expansion:compound
Q06210	P15104	mult_mapping_expansion:compound
Q06210	Q9UI32	mult_mapping_expansion:compound
Q7L266	P45381	one_to_one_mapping:compound
Q8IXN7	Q04609	mult_mapping_expansion:compound|one_to_one_mapping:compound
Q8IXN7	Q8IXN7	mult_mapping_expansion:compound
Q8N142	P00505	mult_mapping_expansion:compound
Q8N142	P17174	mult_mapping_expansion:compound
Q8N9F0	Q96RQ9	one_to_one_mapping:compound
Q9NQR4	Q99489	one_to_one_mapping:compound
Q9UI32	P00367	mult_mapping_expansion:compound
Q9UI32	P15104	mult_mapping_expansion:compound
Q9UI32	P49448	mult_mapping_expansion:compound
Q9UI32	Q05329	mult_mapping_expansion:compound
Q9UI32	Q99259	mult_mapping_expansion:compound
Q9ULI2	Q04609	mult_mapping_expansion:compound
Q9ULI2	Q8IXN7	mult_mapping_expansion:compound
