#node1	node2	node1type	node2type	relation_type
O15496|O60733|P04054|P0C869|P14555|P39877|P47712|P53816|Q3MJ16|Q68DD2|Q6P1J6|Q86XP0|Q9BX93|Q9BZM1|Q9BZM2|Q9NZ20|Q9NZK7|Q9UNK4|Q9UP65	Q643R3|Q7L5N7|Q8NF37	gene	gene	compound
O15496|O60733|P04054|P0C869|P14555|P39877|P47712|P53816|Q3MJ16|Q68DD2|Q6P1J6|Q86XP0|Q9BX93|Q9BZM1|Q9BZM2|Q9NZ20|Q9NZK7|Q9UNK4|Q9UP65	Q6UWR7	gene	gene	compound
Q7L5N7|Q8NF37	Q643R3|Q7L5N7|Q8NF37	gene	gene	compound
O15496|O60733|P04054|P0C869|P14555|P39877|P47712|P53816|Q3MJ16|Q68DD2|Q6P1J6|Q86XP0|Q9BX93|Q9BZM1|Q9BZM2|Q9NZ20|Q9NZK7|Q9UNK4|Q9UP65	Q8WUD6|Q9Y6K0	gene	gene	compound
Q6UWR7	Q643R3	gene	gene	compound
Q7L5N7|Q8NF37	Q8WUD6|Q9Y6K0	gene	gene	compound
Q13822|Q7L5L3|Q8N9F7	O15496|O60733|P04054|P0C869|P14555|P39877|P47712|P53816|Q3MJ16|Q68DD2|Q6P1J6|Q86XP0|Q9BX93|Q9BZM1|Q9BZM2|Q9NZ20|Q9NZK7|Q9UNK4|Q9UP65	gene	gene	compound
O14494|O14495|O43688	Q8WUD6|Q9Y6K0	gene	gene	compound
Q13822|Q7L5L3|Q8N9F7	Q8N661	gene	gene	compound
Q9C0D9|Q9Y6K0	O14494|O14495|O43688	gene	gene	compound
Q16880	Q8WUD6|Q9Y6K0	gene	gene	compound
Q9C0D9|Q9Y6K0	Q8WUD6|Q9Y6K0	gene	gene	compound
A5PLL7|Q13404	Q9C0D9|Q9Y6K0	gene	gene	compound
Q8N661	O15496|O60733|P04054|P0C869|P14555|P39877|P47712|P53816|Q3MJ16|Q68DD2|Q6P1J6|Q86XP0|Q9BX93|Q9BZM1|Q9BZM2|Q9NZ20|Q9NZK7|Q9UNK4|Q9UP65	gene	gene	compound
Q16880	Q9C0D9|Q9Y6K0	gene	gene	compound
A5PLL7|Q13404		gene	gene	compound
Q13822|Q7L5L3|Q8N9F7		gene	gene	compound
A5PLL7|Q13404	O15496|O60733|P04054|P0C869|P14555|P39877|P47712|P53816|Q3MJ16|Q68DD2|Q6P1J6|Q86XP0|Q9BX93|Q9BZM1|Q9BZM2|Q9NZ20|Q9NZK7|Q9UNK4|Q9UP65	gene	gene	compound
A5PLL7|Q13404	O14939|Q13393|Q8IV08|Q96BZ4	gene	gene	compound
P43034|P68402|Q13093|Q15102|Q99487	Q8WUD6|Q9Y6K0	gene	gene	compound
O14939|Q13393|Q8IV08|Q96BZ4		gene	gene	compound
Q8N661		gene	gene	compound
Q8WUD6|Q9Y6K0	Q643R3|Q7L5N7|Q8NF37	gene	gene	compound
Q9C0D9|Q9Y6K0		gene	gene	compound
Q16880	Q99999	gene	gene	compound
P43034|P68402|Q13093|Q15102|Q99487	O15496|O60733|P04054|P0C869|P14555|P39877|P47712|P53816|Q3MJ16|Q68DD2|Q6P1J6|Q86XP0|Q9BX93|Q9BZM1|Q9BZM2|Q9NZ20|Q9NZK7|Q9UNK4|Q9UP65	gene	gene	compound
O14939|Q13393|Q8IV08|Q96BZ4	O15496|O60733|P04054|P0C869|P14555|P39877|P47712|P53816|Q3MJ16|Q68DD2|Q6P1J6|Q86XP0|Q9BX93|Q9BZM1|Q9BZM2|Q9NZ20|Q9NZK7|Q9UNK4|Q9UP65	gene	gene	compound
	O14494|O14495|O43688	gene	gene	compound
Q9C0D9|Q9Y6K0	O14939|Q13393|Q8IV08|Q96BZ4	gene	gene	compound
P43034|P68402|Q13093|Q15102|Q99487	Q7L5N7|Q8NF37	gene	gene	compound
Q9C0D9|Q9Y6K0	O15496|O60733|P04054|P0C869|P14555|P39877|P47712|P53816|Q3MJ16|Q68DD2|Q6P1J6|Q86XP0|Q9BX93|Q9BZM1|Q9BZM2|Q9NZ20|Q9NZK7|Q9UNK4|Q9UP65	gene	gene	compound
