#node1	node2	edge_expansion:relation_type
P11940	P50616	mult_mapping_expansion:binding/association
P11940	P62324	mult_mapping_expansion:binding/association
P11940	P78543	mult_mapping_expansion:binding/association
P11940	Q14106	mult_mapping_expansion:binding/association
P11940	Q14201	mult_mapping_expansion:binding/association
P11940	Q9NY30	mult_mapping_expansion:binding/association
P11940	Q9UFF9	mult_mapping_expansion:activation
P11940	Q9UIV1	mult_mapping_expansion:activation
P50616	P11940	mult_mapping_expansion:binding/association
P50616	Q13310	mult_mapping_expansion:binding/association
P50616	Q5JQF8	mult_mapping_expansion:binding/association
P50616	Q96DU9	mult_mapping_expansion:binding/association
P50616	Q9H361	mult_mapping_expansion:binding/association
P62324	P11940	mult_mapping_expansion:binding/association
P62324	Q13310	mult_mapping_expansion:binding/association
P62324	Q5JQF8	mult_mapping_expansion:binding/association
P62324	Q96DU9	mult_mapping_expansion:binding/association
P62324	Q9H361	mult_mapping_expansion:binding/association
P78543	P11940	mult_mapping_expansion:binding/association
P78543	Q13310	mult_mapping_expansion:binding/association
P78543	Q5JQF8	mult_mapping_expansion:binding/association
P78543	Q96DU9	mult_mapping_expansion:binding/association
P78543	Q9H361	mult_mapping_expansion:binding/association
Q13310	P50616	mult_mapping_expansion:binding/association
Q13310	P62324	mult_mapping_expansion:binding/association
Q13310	P78543	mult_mapping_expansion:binding/association
Q13310	Q14106	mult_mapping_expansion:binding/association
Q13310	Q14201	mult_mapping_expansion:binding/association
Q13310	Q9NY30	mult_mapping_expansion:binding/association
Q13310	Q9UFF9	mult_mapping_expansion:activation
Q13310	Q9UIV1	mult_mapping_expansion:activation
Q14106	P11940	mult_mapping_expansion:binding/association
Q14106	Q13310	mult_mapping_expansion:binding/association
Q14106	Q5JQF8	mult_mapping_expansion:binding/association
Q14106	Q96DU9	mult_mapping_expansion:binding/association
Q14106	Q9H361	mult_mapping_expansion:binding/association
Q14201	P11940	mult_mapping_expansion:binding/association
Q14201	Q13310	mult_mapping_expansion:binding/association
Q14201	Q5JQF8	mult_mapping_expansion:binding/association
Q14201	Q96DU9	mult_mapping_expansion:binding/association
Q14201	Q9H361	mult_mapping_expansion:binding/association
Q504Q3	Q58A45	one_to_one_mapping:binding/association
Q58A45	Q504Q3	one_to_one_mapping:binding/association
Q5JQF8	P50616	mult_mapping_expansion:binding/association
Q5JQF8	P62324	mult_mapping_expansion:binding/association
Q5JQF8	P78543	mult_mapping_expansion:binding/association
Q5JQF8	Q14106	mult_mapping_expansion:binding/association
Q5JQF8	Q14201	mult_mapping_expansion:binding/association
Q5JQF8	Q9NY30	mult_mapping_expansion:binding/association
Q5JQF8	Q9UFF9	mult_mapping_expansion:activation
Q5JQF8	Q9UIV1	mult_mapping_expansion:activation
Q96DU9	P50616	mult_mapping_expansion:binding/association
Q96DU9	P62324	mult_mapping_expansion:binding/association
Q96DU9	P78543	mult_mapping_expansion:binding/association
Q96DU9	Q14106	mult_mapping_expansion:binding/association
Q96DU9	Q14201	mult_mapping_expansion:binding/association
Q96DU9	Q9NY30	mult_mapping_expansion:binding/association
Q96DU9	Q9UFF9	mult_mapping_expansion:activation
Q96DU9	Q9UIV1	mult_mapping_expansion:activation
Q9H361	P50616	mult_mapping_expansion:binding/association
Q9H361	P62324	mult_mapping_expansion:binding/association
Q9H361	P78543	mult_mapping_expansion:binding/association
Q9H361	Q14106	mult_mapping_expansion:binding/association
Q9H361	Q14201	mult_mapping_expansion:binding/association
Q9H361	Q9NY30	mult_mapping_expansion:binding/association
Q9H361	Q9UFF9	mult_mapping_expansion:activation
Q9H361	Q9UIV1	mult_mapping_expansion:activation
Q9NY30	P11940	mult_mapping_expansion:binding/association
Q9NY30	Q13310	mult_mapping_expansion:binding/association
Q9NY30	Q5JQF8	mult_mapping_expansion:binding/association
Q9NY30	Q96DU9	mult_mapping_expansion:binding/association
Q9NY30	Q9H361	mult_mapping_expansion:binding/association
