#node1	node2	edge_expansion:relation_type
O14842	P29992	mult_mapping_expansion:activation
O14842	P50148	mult_mapping_expansion:activation
O95467	O43306	mult_mapping_expansion:activation
O95467	O60266	mult_mapping_expansion:activation
O95467	O60503	mult_mapping_expansion:activation
O95467	O95622	mult_mapping_expansion:activation
O95467	P40145	mult_mapping_expansion:activation
O95467	P51828	mult_mapping_expansion:activation
O95467	Q08462	mult_mapping_expansion:activation
O95467	Q08828	mult_mapping_expansion:activation
O95467	Q8NFM4	mult_mapping_expansion:activation
P01275	P43220	one_to_one_mapping:activation
P06307	P32238	one_to_one_mapping:activation
P09681	Q8TDV5	one_to_one_mapping:activation
P17612	O43889	mult_mapping_expansion:activation
P17612	O60840	mult_mapping_expansion:activation
P17612	P15336	mult_mapping_expansion:activation
P17612	P16220	mult_mapping_expansion:activation
P17612	P18848	mult_mapping_expansion:activation
P17612	P52945	mult_mapping_expansion:activation
P17612	Q01668	mult_mapping_expansion:activation
P17612	Q02930	mult_mapping_expansion:activation
P17612	Q09428	mult_mapping_expansion:inhibition
P17612	Q13698	mult_mapping_expansion:activation
P17612	Q13936	mult_mapping_expansion:activation
P17612	Q14573	mult_mapping_expansion:activation
P17612	Q68CJ9	mult_mapping_expansion:activation
P17612	Q70SY1	mult_mapping_expansion:activation
P17612	Q8TEY5	mult_mapping_expansion:activation
P17612	Q96BA8	mult_mapping_expansion:activation
P17612	Q99941	mult_mapping_expansion:activation
P18509	P41586	one_to_one_mapping:activation
P20309	P29992	mult_mapping_expansion:activation
P20309	P50148	mult_mapping_expansion:activation
P22612	O43889	mult_mapping_expansion:activation
P22612	O60840	mult_mapping_expansion:activation
P22612	P15336	mult_mapping_expansion:activation
P22612	P16220	mult_mapping_expansion:activation
P22612	P18848	mult_mapping_expansion:activation
P22612	P52945	mult_mapping_expansion:activation
P22612	Q01668	mult_mapping_expansion:activation
P22612	Q02930	mult_mapping_expansion:activation
P22612	Q09428	mult_mapping_expansion:inhibition
P22612	Q13698	mult_mapping_expansion:activation
P22612	Q13936	mult_mapping_expansion:activation
P22612	Q14573	mult_mapping_expansion:activation
P22612	Q68CJ9	mult_mapping_expansion:activation
P22612	Q70SY1	mult_mapping_expansion:activation
P22612	Q8TEY5	mult_mapping_expansion:activation
P22612	Q96BA8	mult_mapping_expansion:activation
P22612	Q99941	mult_mapping_expansion:activation
P22694	O43889	mult_mapping_expansion:activation
P22694	O60840	mult_mapping_expansion:activation
P22694	P15336	mult_mapping_expansion:activation
P22694	P16220	mult_mapping_expansion:activation
P22694	P18848	mult_mapping_expansion:activation
P22694	P52945	mult_mapping_expansion:activation
P22694	Q01668	mult_mapping_expansion:activation
P22694	Q02930	mult_mapping_expansion:activation
P22694	Q09428	mult_mapping_expansion:inhibition
P22694	Q13698	mult_mapping_expansion:activation
P22694	Q13936	mult_mapping_expansion:activation
P22694	Q14573	mult_mapping_expansion:activation
P22694	Q68CJ9	mult_mapping_expansion:activation
P22694	Q70SY1	mult_mapping_expansion:activation
P22694	Q8TEY5	mult_mapping_expansion:activation
P22694	Q96BA8	mult_mapping_expansion:activation
P22694	Q99941	mult_mapping_expansion:activation
P29992	Q00722	mult_mapping_expansion:activation
P29992	Q01970	mult_mapping_expansion:activation
P29992	Q15147	mult_mapping_expansion:activation
P29992	Q9NQ66	mult_mapping_expansion:activation
P32238	P29992	mult_mapping_expansion:activation
P32238	P50148	mult_mapping_expansion:activation
P41586	O95467	mult_mapping_expansion:activation
P41586	P29992	mult_mapping_expansion:activation
P41586	P50148	mult_mapping_expansion:activation
P41586	P63092	mult_mapping_expansion:activation
P50148	Q00722	mult_mapping_expansion:activation
P50148	Q01970	mult_mapping_expansion:activation
P50148	Q15147	mult_mapping_expansion:activation
P50148	Q9NQ66	mult_mapping_expansion:activation
P63092	O43306	mult_mapping_expansion:activation
P63092	O60266	mult_mapping_expansion:activation
P63092	O60503	mult_mapping_expansion:activation
P63092	O95622	mult_mapping_expansion:activation
P63092	P40145	mult_mapping_expansion:activation
P63092	P51828	mult_mapping_expansion:activation
P63092	Q08462	mult_mapping_expansion:activation
P63092	Q08828	mult_mapping_expansion:activation
P63092	Q8NFM4	mult_mapping_expansion:activation
Q8TDV5	O95467	mult_mapping_expansion:activation
Q8TDV5	P63092	mult_mapping_expansion:activation
Q8WZA2	Q92736	one_to_one_mapping:activation
Q8WZA2	Q9UQ26	mult_mapping_expansion:activation
Q8WZA2	Q9Y6V0	mult_mapping_expansion:activation
Q9UQ26	P20336	mult_mapping_expansion:activation
Q9UQ26	Q9Y6V0	group_expansion
Q9Y6V0	P20336	mult_mapping_expansion:activation
Q9Y6V0	Q9UQ26	group_expansion
