#node1	node2	edge_expansion:relation_type
O94766	Q96L58	one_to_one_mapping:compound
Q70JA7	Q70JA7	mult_mapping_expansion:compound
Q70JA7	Q86X52	mult_mapping_expansion:compound
Q70JA7	Q8IZ52	mult_mapping_expansion:compound
Q70JA7	Q8N6G5	mult_mapping_expansion:compound
Q70JA7	Q8TDX6	mult_mapping_expansion:compound
Q70JA7	Q9P2E5	mult_mapping_expansion:compound
Q86X52	Q70JA7	mult_mapping_expansion:compound
Q86X52	Q86X52	mult_mapping_expansion:compound
Q86X52	Q8IZ52	mult_mapping_expansion:compound
Q86X52	Q8N6G5	mult_mapping_expansion:compound
Q86X52	Q8TDX6	mult_mapping_expansion:compound
Q86X52	Q9P2E5	mult_mapping_expansion:compound
Q86Y38	Q9UBV7	mult_mapping_expansion:compound
Q8IZ52	Q70JA7	mult_mapping_expansion:compound
Q8IZ52	Q86X52	mult_mapping_expansion:compound
Q8IZ52	Q8IZ52	mult_mapping_expansion:compound
Q8IZ52	Q8N6G5	mult_mapping_expansion:compound
Q8IZ52	Q8TDX6	mult_mapping_expansion:compound
Q8IZ52	Q9P2E5	mult_mapping_expansion:compound
Q8N6G5	Q70JA7	mult_mapping_expansion:compound
Q8N6G5	Q86X52	mult_mapping_expansion:compound
Q8N6G5	Q8IZ52	mult_mapping_expansion:compound
Q8N6G5	Q9P2E5	mult_mapping_expansion:compound
Q8TDX6	Q70JA7	mult_mapping_expansion:compound
Q8TDX6	Q86X52	mult_mapping_expansion:compound
Q8TDX6	Q8IZ52	mult_mapping_expansion:compound
Q8TDX6	Q9P2E5	mult_mapping_expansion:compound
Q9H1B5	Q9UBV7	mult_mapping_expansion:compound
Q9P2E5	Q8N6G5	mult_mapping_expansion:compound
Q9P2E5	Q8TDX6	mult_mapping_expansion:compound
