#node1	node2	edge_expansion:relation_type
A2RU49	Q8IUZ5	one_to_one_mapping:compound
O14686	O00469	mult_mapping_expansion:compound
O14686	O60568	mult_mapping_expansion:compound
O14686	Q02809	mult_mapping_expansion:compound
O14686	Q7Z624	mult_mapping_expansion:compound
O15047	O00469	mult_mapping_expansion:compound
O15047	O60568	mult_mapping_expansion:compound
O15047	Q02809	mult_mapping_expansion:compound
O15047	Q7Z624	mult_mapping_expansion:compound
O43463	O00469	mult_mapping_expansion:compound
O43463	O60568	mult_mapping_expansion:compound
O43463	Q02809	mult_mapping_expansion:compound
O43463	Q7Z624	mult_mapping_expansion:compound
O60568	O00469	mult_mapping_expansion:compound
O60568	O60568	mult_mapping_expansion:compound
O60568	Q02809	mult_mapping_expansion:compound
O75936	P05091	mult_mapping_expansion:compound
O75936	P30837	mult_mapping_expansion:compound
O75936	P49189	mult_mapping_expansion:compound|one_to_one_mapping:compound
O75936	P49419	mult_mapping_expansion:compound
O75936	P51648	mult_mapping_expansion:compound
O96028	O00469	mult_mapping_expansion:compound
O96028	O60568	mult_mapping_expansion:compound
O96028	Q02809	mult_mapping_expansion:compound
O96028	Q7Z624	mult_mapping_expansion:compound
P30084	Q08426	mult_mapping_expansion:compound
P30084	Q16836	mult_mapping_expansion:compound
P30084	Q92947	mult_mapping_expansion:compound
P40939	Q08426	mult_mapping_expansion:compound
P40939	Q16836	mult_mapping_expansion:compound
P40939	Q92947	mult_mapping_expansion:compound
P49419	Q8N5Z0	one_to_one_mapping:compound
Q03164	O00469	mult_mapping_expansion:compound
Q03164	O60568	mult_mapping_expansion:compound
Q03164	Q02809	mult_mapping_expansion:compound
Q03164	Q7Z624	mult_mapping_expansion:compound
Q08426	P24752	mult_mapping_expansion:compound
Q08426	Q08426	mult_mapping_expansion:compound
Q08426	Q16836	mult_mapping_expansion:compound
Q08426	Q92947	mult_mapping_expansion:compound
Q08426	Q9BWD1	mult_mapping_expansion:compound
Q13029	O00469	mult_mapping_expansion:compound
Q13029	O60568	mult_mapping_expansion:compound
Q13029	Q02809	mult_mapping_expansion:compound
Q13029	Q7Z624	mult_mapping_expansion:compound
Q15047	O00469	mult_mapping_expansion:compound
Q15047	O60568	mult_mapping_expansion:compound
Q15047	Q02809	mult_mapping_expansion:compound
Q15047	Q7Z624	mult_mapping_expansion:compound
Q15910	O00469	mult_mapping_expansion:compound
Q15910	O60568	mult_mapping_expansion:compound
Q15910	Q02809	mult_mapping_expansion:compound
Q15910	Q7Z624	mult_mapping_expansion:compound
Q16836	P24752	mult_mapping_expansion:compound
Q16836	Q9BWD1	mult_mapping_expansion:compound
Q4FZB7	Q7Z624	mult_mapping_expansion:compound
Q53H47	Q7Z624	mult_mapping_expansion:compound
Q7Z624	O00469	mult_mapping_expansion:compound
Q7Z624	O14686	mult_mapping_expansion:compound
Q7Z624	O15047	mult_mapping_expansion:compound
Q7Z624	O43463	mult_mapping_expansion:compound
Q7Z624	O60568	mult_mapping_expansion:compound
Q7Z624	O96028	mult_mapping_expansion:compound
Q7Z624	Q02809	mult_mapping_expansion:compound
Q7Z624	Q03164	mult_mapping_expansion:compound
Q7Z624	Q13029	mult_mapping_expansion:compound
Q7Z624	Q15047	mult_mapping_expansion:compound
Q7Z624	Q15910	mult_mapping_expansion:compound
Q7Z624	Q4FZB7	mult_mapping_expansion:compound
Q7Z624	Q53H47	mult_mapping_expansion:compound
Q7Z624	Q86Y97	mult_mapping_expansion:compound
Q7Z624	Q8IZD2	mult_mapping_expansion:compound
