#node1	node2	edge_expansion:relation_type
A6NI73	P29350	mult_mapping_expansion:binding/association
O00221	P19838	mult_mapping_expansion:dissociation
O00221	Q04206	mult_mapping_expansion:dissociation
O00329	P31749	mult_mapping_expansion:compound
O00329	P31751	mult_mapping_expansion:compound
O00329	Q6ZUJ8	mult_mapping_expansion:binding/association
O00329	Q9Y243	mult_mapping_expansion:compound
O00459	P31749	mult_mapping_expansion:compound
O00459	P31751	mult_mapping_expansion:compound
O00459	Q6ZUJ8	mult_mapping_expansion:binding/association
O00459	Q9Y243	mult_mapping_expansion:compound
O14920	O00221	mult_mapping_expansion:phosphorylation
O14920	O15111	group_expansion
O14920	P25963	mult_mapping_expansion:phosphorylation
O14920	Q15653	mult_mapping_expansion:phosphorylation
O14920	Q9Y6K9	group_expansion
O15111	O14920	group_expansion
O15111	Q9Y6K9	group_expansion
O15357	P31994	mult_mapping_expansion:binding/association
O75019	P29350	mult_mapping_expansion:binding/association
O75022	P29350	mult_mapping_expansion:binding/association
O75023	P29350	mult_mapping_expansion:binding/association
O95999	Q9BXL7	group_expansion
O95999	Q9UDY8	group_expansion
O95999	Q9Y6K9	mult_mapping_expansion:activation|ubiquitination
P01111	P01100	mult_mapping_expansion:indirect effect
P01111	P04049	mult_mapping_expansion:activation
P01111	P05412	mult_mapping_expansion:indirect effect
P01112	P01100	mult_mapping_expansion:indirect effect
P01112	P04049	mult_mapping_expansion:activation
P01112	P05412	mult_mapping_expansion:indirect effect
P01116	P01100	mult_mapping_expansion:indirect effect
P01116	P04049	mult_mapping_expansion:activation
P01116	P05412	mult_mapping_expansion:indirect effect
P04049	P36507	mult_mapping_expansion:activation|phosphorylation
P04049	Q02750	mult_mapping_expansion:activation|phosphorylation
P05771	Q9BXL7	one_to_one_mapping:activation|phosphorylation
P07948	P15391	one_to_one_mapping:phosphorylation
P15391	O00329	mult_mapping_expansion:activation
P15391	O00459	mult_mapping_expansion:activation
P15391	P15498	mult_mapping_expansion:activation
P15391	P27986	mult_mapping_expansion:activation
P15391	P42336	mult_mapping_expansion:activation
P15391	P42338	mult_mapping_expansion:activation
P15391	P52735	mult_mapping_expansion:activation
P15391	Q92569	mult_mapping_expansion:activation
P15391	Q9UKW4	mult_mapping_expansion:activation
P15498	P15153	mult_mapping_expansion:activation
P15498	P60763	mult_mapping_expansion:activation
P15498	P63000	mult_mapping_expansion:activation
P16298	O95644	mult_mapping_expansion:dephosphorylation
P16298	Q12968	mult_mapping_expansion:dephosphorylation
P16298	Q13469	mult_mapping_expansion:dephosphorylation
P16885	Q8IV61	one_to_one_mapping:compound
P19838	O00221	mult_mapping_expansion:dissociation
P19838	P25963	mult_mapping_expansion:dissociation
P19838	Q15653	mult_mapping_expansion:dissociation
