#node1	node2	edge_expansion:relation_type
O00418	P13639	one_to_one_mapping:inhibition|phosphorylation
O14974	P14649	mult_mapping_expansion:activation|dephosphorylation
O14974	P24844	mult_mapping_expansion:activation|dephosphorylation
O14974	P60660	mult_mapping_expansion:activation|dephosphorylation
O60237	P14649	mult_mapping_expansion:activation|dephosphorylation
O60237	P24844	mult_mapping_expansion:activation|dephosphorylation
O60237	P60660	mult_mapping_expansion:activation|dephosphorylation
O75116	O14974	mult_mapping_expansion:inhibition|phosphorylation
O75116	O60237	mult_mapping_expansion:inhibition|phosphorylation
O75116	P36873	mult_mapping_expansion:inhibition|phosphorylation
O75116	P62136	mult_mapping_expansion:inhibition|phosphorylation
O75116	P62140	mult_mapping_expansion:inhibition|phosphorylation
O75116	Q9BZL4	mult_mapping_expansion:inhibition|phosphorylation
O95467	O43306	mult_mapping_expansion:activation
O95467	O60266	mult_mapping_expansion:activation
O95467	O60503	mult_mapping_expansion:activation
O95467	O95622	mult_mapping_expansion:activation
O95467	P40145	mult_mapping_expansion:activation
O95467	P51828	mult_mapping_expansion:activation
O95467	Q08462	mult_mapping_expansion:activation
O95467	Q08828	mult_mapping_expansion:activation
O95467	Q8NFM4	mult_mapping_expansion:activation
P00533	P27361	mult_mapping_expansion:activation|indirect effect
P00533	P28482	mult_mapping_expansion:activation|indirect effect
P01111	P04049	mult_mapping_expansion:activation
P01112	P04049	mult_mapping_expansion:activation
P01116	P04049	mult_mapping_expansion:activation
P01160	P16066	mult_mapping_expansion:activation
P01160	P20594	mult_mapping_expansion:activation
P04049	P36507	mult_mapping_expansion:activation|phosphorylation
P04049	Q02750	mult_mapping_expansion:activation|phosphorylation
P04899	O43306	mult_mapping_expansion:inhibition
P04899	O60266	mult_mapping_expansion:inhibition
P04899	O60503	mult_mapping_expansion:inhibition
P04899	O95622	mult_mapping_expansion:inhibition
P04899	P12931	mult_mapping_expansion:activation|indirect effect
P04899	P40145	mult_mapping_expansion:inhibition
P04899	P48051	mult_mapping_expansion:activation
P04899	P48544	mult_mapping_expansion:activation
P04899	P48549	mult_mapping_expansion:activation
P04899	P48736	mult_mapping_expansion:activation|indirect effect
P04899	P51828	mult_mapping_expansion:inhibition
P04899	Q00722	mult_mapping_expansion:activation|indirect effect
