#node1	node2	node1type	node2type	relation_type
O95467|P63092	O95622	gene	gene	activation
Q86YR5	P04899|P08754|P63096	gene	gene	inhibition
P17612|P22612|P22694	O43889|P15336|P16220|P18848|Q02930|Q68CJ9|Q70SY1|Q8TEY5|Q96BA8|Q99941	gene	gene	activation
P04899|P08754|P63096	O95622	gene	gene	inhibition
P14416	P04899|P08754|P63096	gene	gene	activation
O75916	P04899|P08754|P63096	gene	gene	inhibition
P21728	O95467|P63092	gene	gene	activation
Q14416|Q14832	P04899|P08754|P63096	gene	gene	activation
O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5	P78352	gene	gene	binding/association
P78352	O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5	gene	gene	binding/association
Q00535	Q9UD71	gene	gene	activation|phosphorylation
	P78352	gene	gene	activation|phosphorylation
	P17612|P22612|P22694	gene	gene	inhibition
Q15078		gene	gene	binding/association
	Q15078	gene	gene	binding/association
