#node1	node2	node1type	node2type	relation_type
O43451|P10253|Q2M2H8|Q8TET4	P14410	gene	gene	compound
Q9H227	P14410	gene	gene	compound
O43451|Q2M2H8	P14410	gene	gene	compound
O14638|P22413	Q6PCE3	gene	gene	compound
O14638|P22413	P36871|Q96G03	gene	gene	compound
Q6PCE3	P36871|Q96G03	gene	gene	compound
P04745|P04746|P19961	O43451|P10253|Q2M2H8|Q8TET4	gene	gene	compound
O14638|P22413	P06737|P11216|P11217|P35573	gene	gene	compound
P04745|P04746|P19961	P06737|P11216|P11217|P35573	gene	gene	compound
Q6PCE3	P06737|P11216|P11217|P35573	gene	gene	compound
P04745|P04746|P19961	O43451|Q2M2H8	gene	gene	compound
P36871|Q96G03	P06737|P11216|P11217|P35573	gene	gene	compound
P04745|P04746|P19961	Q04446	gene	gene	compound
Q16851	P36871|Q96G03	gene	gene	compound
P04745|P04746|P19961	P14410	gene	gene	compound
Q16851	P06737|P11216|P11217|P35573	gene	gene	compound
O43451|Q2M2H8	P04745|P04746|P19961	gene	gene	compound
O14638|P22413	O15488|P13807|P46976|P54840	gene	gene	compound
Q16851	O15488|P13807|P46976|P54840	gene	gene	compound
P35575|Q9BUM1|Q9NQR9	P06744	gene	gene	compound
P19367|P52789|P52790|Q2TB90	P06744	gene	gene	compound
Q6PCE3	Q16851	gene	gene	compound
P35557	P06744	gene	gene	compound
O43451|Q2M2H8	O43451|P10253|Q2M2H8|Q8TET4	gene	gene	compound
Q04446	P06737|P11216|P11217|P35573	gene	gene	compound
O43451|Q2M2H8	P06737|P11216|P11217|P35573	gene	gene	compound
P36871|Q96G03	P35575|Q9BUM1|Q9NQR9	gene	gene	compound
Q9H227		gene	gene	compound
O43451|Q2M2H8	Q04446	gene	gene	compound
Q9H227	O43451|P10253|Q2M2H8|Q8TET4	gene	gene	compound
O43451|P10253|Q2M2H8|Q8TET4	O43451|Q2M2H8	gene	gene	compound
P36871|Q96G03	P19367|P52789|P52790|Q2TB90	gene	gene	compound
	P19367|P52789|P52790|Q2TB90	gene	gene	compound
P36871|Q96G03		gene	gene	compound
O43451|P10253|Q2M2H8|Q8TET4	P19367|P52789|P52790|Q2TB90	gene	gene	compound
	O43451|P10253|Q2M2H8|Q8TET4	gene	gene	compound
O15488|P13807|P46976|P54840	Q04446	gene	gene	compound
P19367|P52789|P52790|Q2TB90		gene	gene	compound
