#node1	node2	edge_expansion:relation_type
O60512	O43825	one_to_one_mapping:compound
O60512	P19526	mult_mapping_expansion:compound
O60512	P21217	mult_mapping_expansion:compound
O60512	P51993	mult_mapping_expansion:compound
O60512	Q10981	mult_mapping_expansion:compound
O60512	Q11128	mult_mapping_expansion:compound
O60512	Q9C0J1	mult_mapping_expansion:compound
O60512	Q9NY97	mult_mapping_expansion:compound
O60512	Q9Y2A9	mult_mapping_expansion:compound
O60513	P19526	mult_mapping_expansion:compound
O60513	P22083	one_to_one_mapping:compound
O60513	Q10981	mult_mapping_expansion:compound
O60513	Q9C0J1	mult_mapping_expansion:compound
O60513	Q9NY97	mult_mapping_expansion:compound
O60513	Q9Y2A9	mult_mapping_expansion:compound
O60513	Q9Y2C3	one_to_one_mapping:compound
O60909	P22083	one_to_one_mapping:compound
P15291	P19526	mult_mapping_expansion:compound
P15291	Q10981	mult_mapping_expansion:compound
P15291	Q9NPC4	one_to_one_mapping:compound
P16442	P16442	one_to_one_mapping:compound
P16442	P19526	mult_mapping_expansion:compound
P16442	P21217	one_to_one_mapping:compound
P16442	Q10981	mult_mapping_expansion:compound
P16442	Q9Y231	one_to_one_mapping:compound
P19526	P16442	mult_mapping_expansion:compound
P19526	P21217	mult_mapping_expansion:compound
P21217	O60512	mult_mapping_expansion:compound
P21217	O60513	mult_mapping_expansion:compound
P21217	P16442	mult_mapping_expansion:compound|one_to_one_mapping:compound
P21217	P19526	mult_mapping_expansion:compound
P21217	P22083	mult_mapping_expansion:compound
P21217	Q10981	mult_mapping_expansion:compound
P21217	Q9C0J1	mult_mapping_expansion:compound
P21217	Q9NY97	mult_mapping_expansion:compound
P21217	Q9Y231	mult_mapping_expansion:compound
P21217	Q9Y274	mult_mapping_expansion:compound
P21217	Q9Y2A9	mult_mapping_expansion:compound
P22083	P16442	one_to_one_mapping:compound
P22083	P19526	mult_mapping_expansion:compound
P22083	P21217	mult_mapping_expansion:compound
P22083	P51993	mult_mapping_expansion:compound
P22083	Q10981	mult_mapping_expansion:compound
P22083	Q11128	mult_mapping_expansion:compound
P22083	Q92185	mult_mapping_expansion:compound
P22083	Q9NY97	mult_mapping_expansion:compound
P22083	Q9Y231	one_to_one_mapping:compound
P22083	Q9Y2A9	mult_mapping_expansion:compound
P51993	O60512	mult_mapping_expansion:compound
P51993	O60513	mult_mapping_expansion:compound
P51993	P16442	mult_mapping_expansion:compound
P51993	P19526	mult_mapping_expansion:compound
P51993	P22083	mult_mapping_expansion:compound
P51993	Q10981	mult_mapping_expansion:compound
P51993	Q9C0J1	mult_mapping_expansion:compound
P51993	Q9NY97	mult_mapping_expansion:compound
P51993	Q9Y231	mult_mapping_expansion:compound
P51993	Q9Y274	mult_mapping_expansion:compound
P51993	Q9Y2A9	mult_mapping_expansion:compound
Q10981	P16442	mult_mapping_expansion:compound
Q10981	P21217	mult_mapping_expansion:compound
Q11128	O60512	mult_mapping_expansion:compound
Q11128	O60513	mult_mapping_expansion:compound
Q11128	P16442	mult_mapping_expansion:compound
Q11128	P19526	mult_mapping_expansion:compound
Q11128	P22083	mult_mapping_expansion:compound
Q11128	Q10981	mult_mapping_expansion:compound
Q11128	Q9C0J1	mult_mapping_expansion:compound
Q11128	Q9NY97	mult_mapping_expansion:compound
Q11128	Q9Y231	mult_mapping_expansion:compound
Q11128	Q9Y274	mult_mapping_expansion:compound
Q11128	Q9Y2A9	mult_mapping_expansion:compound
Q11130	Q92185	mult_mapping_expansion:compound
Q11206	P19526	mult_mapping_expansion:compound
Q11206	P21217	one_to_one_mapping:compound
Q11206	Q10981	mult_mapping_expansion:compound
Q8N0V5	P15291	one_to_one_mapping:compound
Q8N0V5	P19526	mult_mapping_expansion:compound
Q8N0V5	Q10981	mult_mapping_expansion:compound
Q92185	P21217	mult_mapping_expansion:compound
Q92185	P51993	mult_mapping_expansion:compound
Q92185	Q11128	mult_mapping_expansion:compound
Q9C0J1	P15291	mult_mapping_expansion:compound
Q9C0J1	P19526	mult_mapping_expansion:compound
Q9C0J1	Q10981	mult_mapping_expansion:compound
Q9NY97	P15291	mult_mapping_expansion:compound
Q9NY97	P19526	mult_mapping_expansion:compound
Q9NY97	Q10981	mult_mapping_expansion:compound
Q9Y231	O60512	one_to_one_mapping:compound
Q9Y231	P19526	mult_mapping_expansion:compound
Q9Y231	P21217	mult_mapping_expansion:compound
Q9Y231	P22083	one_to_one_mapping:compound
Q9Y231	P51993	mult_mapping_expansion:compound
Q9Y231	Q10981	mult_mapping_expansion:compound
Q9Y231	Q11128	mult_mapping_expansion:compound
Q9Y231	Q9C0J1	mult_mapping_expansion:compound
Q9Y231	Q9NY97	mult_mapping_expansion:compound
Q9Y231	Q9Y274	one_to_one_mapping:compound
Q9Y231	Q9Y2A9	mult_mapping_expansion:compound
Q9Y274	Q9Y231	one_to_one_mapping:compound
Q9Y2A9	P15291	mult_mapping_expansion:compound
Q9Y2A9	P19526	mult_mapping_expansion:compound
Q9Y2A9	Q10981	mult_mapping_expansion:compound
Q9Y5Z6	Q11203	one_to_one_mapping:compound
