#node1	node2	node1type	node2type	relation_type
P41586	P29992|P50148	gene	gene	activation
P29992|P50148	Q00722|Q01970|Q15147|Q9NQ66	gene	gene	activation
Q8WZA2	Q9UQ26|Q9Y6V0	gene	group	activation
Q9UQ26|Q9Y6V0	P20336	group	gene	activation
Q8WZA2	Q92736	gene	gene	activation
P17612|P22612|P22694	Q14573	gene	gene	activation
P20309	P29992|P50148	gene	gene	activation
P17612|P22612|P22694	P52945	gene	gene	activation
P01275	P43220	gene	gene	activation
P17612|P22612|P22694	O60840|Q01668|Q13698|Q13936	gene	gene	activation
P17612|P22612|P22694	O43889|P15336|P16220|P18848|Q02930|Q68CJ9|Q70SY1|Q8TEY5|Q96BA8|Q99941	gene	gene	activation
O95467|P63092	O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	gene	gene	activation
P17612|P22612|P22694	Q09428	gene	gene	inhibition
O14842	P29992|P50148	gene	gene	activation
P41586	O95467|P63092	gene	gene	activation
	Q09428	gene	gene	inhibition
Q8TDV5	O95467|P63092	gene	gene	activation
P32238	P29992|P50148	gene	gene	activation
P18509	P41586	gene	gene	activation
P06307	P32238	gene	gene	activation
P09681	Q8TDV5	gene	gene	activation
	O95467|P63092	gene	gene	activation
