#node1	node2	node1type	node2type	relation_type
P60484	P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	gene	gene	compound
P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	O14732|P29218|Q9NX62	gene	gene	compound
O15056|O43426|P32019|Q01968|Q9NRR6	O00443|O00459|O00750|O75747|P27986|Q92569	gene	gene	compound
P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	Q13496|Q13613|Q13614|Q13615|Q8NCE2|Q96EF0|Q9NYA4|Q9Y216|Q9Y217	gene	gene	compound
P48426|P78356|Q8TBX8	Q86T03|Q8N4L2	gene	gene	compound
P23677|P27987|Q96DU7	Q8NFU5	gene	gene	compound
P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	O14735	gene	gene	compound
O00329|O00459|P27986|P42336|P42338|Q92569	Q86T03|Q8N4L2	gene	gene	compound
Q8NFU5	Q14642	gene	gene	compound
P60484	O00443|O00459|O00750|O75747|P27986|Q92569	gene	gene	compound
P60484	Q86T03|Q8N4L2	gene	gene	compound
	Q9H8X2	gene	gene	compound
O14986|O60331|Q99755	Q86T03|Q8N4L2	gene	gene	compound
	Q8NFU5	gene	gene	compound
O00443|O00459|O00750|O75747|P27986|Q92569	Q13496|Q13613|Q13614|Q13615|Q8NCE2|Q96EF0|Q9NYA4|Q9Y216|Q9Y217	gene	gene	compound
O15056|O43426|P32019|Q01968|Q9NRR6	Q86T03|Q8N4L2	gene	gene	compound
Q9NTJ5|Q9Y2H2	Q9Y2I7	gene	gene	compound
Q9Y2I7	Q86T03|Q8N4L2	gene	gene	compound
Q9NTJ5|Q9Y2H2	P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	gene	gene	compound
O14735	O00443|O00459|O00750|O75747|P27986|Q92569	gene	gene	compound
Q9NTJ5|Q9Y2H2	O00459|P27986|Q8NEB9|Q92569	gene	gene	compound
P60484	O14735	gene	gene	compound
Q13496|Q13613|Q13614|Q13615|Q8NCE2|Q96EF0|Q9NYA4|Q9Y216|Q9Y217	Q86T03|Q8N4L2	gene	gene	compound
Q9NTJ5|Q9Y2H2	O00443|O00459|O00750|O75747|P27986|Q92569	gene	gene	compound
	Q13496|Q13613|Q13614|Q13615|Q8NCE2|Q96EF0|Q9NYA4|Q9Y216|Q9Y217	gene	gene	compound
Q9Y2I7	Q13496|Q13613|Q13614|Q13615|Q8NCE2|Q96EF0|Q9NYA4|Q9Y216|Q9Y217	gene	gene	compound
Q9NTJ5|Q9Y2H2		gene	gene	compound
Q9Y2I7	P48426|P78356|Q8TBX8	gene	gene	compound
Q9NTJ5|Q9Y2H2	Q13496|Q13613|Q13614|Q13615|Q8NCE2|Q96EF0|Q9NYA4|Q9Y216|Q9Y217	gene	gene	compound
P48426|P78356|Q8TBX8	P60484	gene	gene	compound
P48426|P78356|Q8TBX8	Q13496|Q13613|Q13614|Q13615|Q8NCE2|Q96EF0|Q9NYA4|Q9Y216|Q9Y217	gene	gene	compound
O00329|O00459|P27986|P42336|P42338|Q92569	P48426|P78356|Q8TBX8	gene	gene	compound
Q9Y2I7	O00459|P27986|Q8NEB9|Q92569	gene	gene	compound
P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	P48426|P78356|Q8TBX8	gene	gene	compound
O15327|Q96PE3	O00459|P27986|Q8NEB9|Q92569	gene	gene	compound
O00329|O00459|P27986|P42336|P42338|Q92569	P60484	gene	gene	compound
	O00459|P27986|Q8NEB9|Q92569	gene	gene	compound
Q9NTJ5|Q9Y2H2	O15056|O43426|P32019|Q01968|Q9NRR6	gene	gene	compound
Q13496|Q13613|Q13614|Q13615|Q8NCE2|Q96EF0|Q9NYA4|Q9Y216|Q9Y217	O00459|P27986|Q8NEB9|Q92569	gene	gene	compound
Q9NTJ5|Q9Y2H2	O14986|O60331|Q99755	gene	gene	compound
P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	P60484	gene	gene	compound
Q8NFU5	Q8NFU5	gene	gene	compound
P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	O00329|O00459|P27986|P42336|P42338|Q92569	gene	gene	compound
O14986|O60331|Q99755	P42356|Q8TCG2|Q9BTU6|Q9UBF8	gene	gene	compound
P42356|Q8TCG2|Q9BTU6|Q9UBF8	O00459|P27986|Q8NEB9|Q92569	gene	gene	compound
P42356|Q8TCG2|Q9BTU6|Q9UBF8	O15056|O43426|P32019|Q01968|Q9NRR6	gene	gene	compound
P42356|Q8TCG2|Q9BTU6|Q9UBF8	O00443|O00459|O00750|O75747|P27986|Q92569	gene	gene	compound
P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	O00459|P27986|Q8NEB9|Q92569	gene	gene	compound
P42356|Q8TCG2|Q9BTU6|Q9UBF8	P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	gene	gene	compound
O14986|O60331|Q99755	O15056|O43426|P32019|Q01968|Q9NRR6	gene	gene	compound
Q14642		gene	gene	compound
P23677|P27987|Q96DU7		gene	gene	compound
O14986|O60331|Q99755	O00443|O00459|O00750|O75747|P27986|Q92569	gene	gene	compound
P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212		gene	gene	compound
O14986|O60331|Q99755	P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	gene	gene	compound
	Q13572	gene	gene	compound
O00443|O00459|O00750|O75747|P27986|Q92569	O15056|O43426|P32019|Q01968|Q9NRR6	gene	gene	compound
O15327|Q96PE3	Q13572	gene	gene	compound
O15056|O43426|P32019|Q01968|Q9NRR6	P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	gene	gene	compound
P49441	Q13572	gene	gene	compound
O00443|O00459|O00750|O75747|P27986|Q92569	P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	gene	gene	compound
O15327|Q96PE3		gene	gene	compound
O15357|Q92835	P60484	gene	gene	compound
	O15327|Q96PE3	gene	gene	compound
O00329|O00459|P27986|P42336|P42338|Q92569	O15357|Q92835	gene	gene	compound
Q13496	O15327|Q96PE3	gene	gene	compound
O00443|O00459|O00750|O75747|P27986|Q92569	Q9Y2I7	gene	gene	compound
Q9H8X2		gene	gene	compound
O00443|O00459|O00750|O75747|P27986|Q92569	O15327|Q96PE3	gene	gene	compound
Q8NFU5		gene	gene	compound
	Q9Y2I7	gene	gene	compound
O43314|Q6PFW1	Q9H8X2	gene	gene	compound
Q92551|Q96PC2|Q9UHH9	Q9H8X2	gene	gene	compound
O43314|Q6PFW1	Q92551|Q96PC2|Q9UHH9	gene	gene	compound
O15327|Q96PE3	Q13496|Q13613|Q13614|Q13615|Q8NCE2|Q96EF0|Q9NYA4|Q9Y216|Q9Y217	gene	gene	compound
Q92551|Q96PC2|Q9UHH9	O43314|Q6PFW1	gene	gene	compound
O15327|Q96PE3	Q9Y2I7	gene	gene	compound
P16885|P19174|P51178|Q00722|Q01970|Q15147|Q86YW0|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	Q13496	gene	gene	compound
