#node1	node2	edge_expansion:relation_type
O15382	P12694	mult_mapping_expansion:compound
O15382	P21953	mult_mapping_expansion:compound
P05091	Q02252	mult_mapping_expansion:compound
P05165	Q02252	mult_mapping_expansion:compound
P05166	Q02252	mult_mapping_expansion:compound
P09110	P05165	mult_mapping_expansion:compound
P09110	P05166	mult_mapping_expansion:compound
P09110	Q02252	mult_mapping_expansion:compound
P09110	Q08426	mult_mapping_expansion:compound
P09110	Q16836	mult_mapping_expansion:compound
P09110	Q99714	mult_mapping_expansion:compound
P09622	P11182	one_to_one_mapping:compound
P09622	P12694	mult_mapping_expansion:compound
P09622	P21953	mult_mapping_expansion:compound
P11182	P16219	one_to_one_mapping:compound
P12694	O15382	mult_mapping_expansion:compound
P12694	P09622	mult_mapping_expansion:compound
P12694	P11182	mult_mapping_expansion:compound
P12694	P54687	mult_mapping_expansion:compound
P12694	Q96RQ9	mult_mapping_expansion:compound
P21953	O15382	mult_mapping_expansion:compound
P21953	P09622	mult_mapping_expansion:compound
P21953	P11182	mult_mapping_expansion:compound
P21953	P54687	mult_mapping_expansion:compound
P21953	Q96RQ9	mult_mapping_expansion:compound
P22033	Q96PE7	one_to_one_mapping:compound
P24752	P09110	mult_mapping_expansion:compound
P24752	P35914	mult_mapping_expansion:compound
P24752	P42765	mult_mapping_expansion:compound
P24752	P54868	mult_mapping_expansion:compound
P24752	P55084	mult_mapping_expansion:compound
P24752	P55809	mult_mapping_expansion:compound
P24752	Q01581	mult_mapping_expansion:compound
P24752	Q8TB92	mult_mapping_expansion:compound
P24752	Q9BYC2	mult_mapping_expansion:compound
P30084	P11310	mult_mapping_expansion:compound
P30084	P16219	mult_mapping_expansion:compound
P30084	P26440	mult_mapping_expansion:compound
P30084	P45954	mult_mapping_expansion:compound
P30084	Q08426	mult_mapping_expansion:compound
P30084	Q16836	mult_mapping_expansion:compound
P30084	Q99714	mult_mapping_expansion:compound
P30837	Q02252	mult_mapping_expansion:compound
P31937	Q6NVY1	one_to_one_mapping:compound
P35914	P09110	mult_mapping_expansion:compound
P35914	P42765	mult_mapping_expansion:compound
P35914	P55084	mult_mapping_expansion:compound
P35914	Q13825	mult_mapping_expansion:compound
P40939	P11310	mult_mapping_expansion:compound
P40939	P16219	mult_mapping_expansion:compound
P40939	P26440	mult_mapping_expansion:compound
P40939	P45954	mult_mapping_expansion:compound
P40939	Q08426	mult_mapping_expansion:compound
P40939	Q16836	mult_mapping_expansion:compound
P40939	Q99714	mult_mapping_expansion:compound
P42765	P05165	mult_mapping_expansion:compound
P42765	P05166	mult_mapping_expansion:compound
P42765	Q02252	mult_mapping_expansion:compound
P42765	Q08426	mult_mapping_expansion:compound
P42765	Q16836	mult_mapping_expansion:compound
P42765	Q99714	mult_mapping_expansion:compound
P45954	P30084	mult_mapping_expansion:compound
P45954	P40939	mult_mapping_expansion:compound
P45954	Q08426	mult_mapping_expansion:compound
P49189	Q02252	mult_mapping_expansion:compound
P49419	Q02252	mult_mapping_expansion:compound
P51648	Q02252	mult_mapping_expansion:compound
P54687	P12694	mult_mapping_expansion:compound
P54687	P21953	mult_mapping_expansion:compound
P54868	P09110	mult_mapping_expansion:compound
P54868	P35914	mult_mapping_expansion:compound
P54868	P42765	mult_mapping_expansion:compound
P54868	P55084	mult_mapping_expansion:compound
P54868	P55809	mult_mapping_expansion:compound
P54868	Q13825	mult_mapping_expansion:compound
P54868	Q8TB92	mult_mapping_expansion:compound
P54868	Q9BYC2	mult_mapping_expansion:compound
P55084	P05165	mult_mapping_expansion:compound
P55084	P05166	mult_mapping_expansion:compound
P55084	Q02252	mult_mapping_expansion:compound
P55084	Q08426	mult_mapping_expansion:compound
P55084	Q16836	mult_mapping_expansion:compound
P55084	Q99714	mult_mapping_expansion:compound
P55809	P35914	mult_mapping_expansion:compound
P55809	Q8TB92	mult_mapping_expansion:compound
Q01581	P09110	mult_mapping_expansion:compound
Q01581	P35914	mult_mapping_expansion:compound
Q01581	P42765	mult_mapping_expansion:compound
Q01581	P55084	mult_mapping_expansion:compound
Q01581	P55809	mult_mapping_expansion:compound
Q01581	Q13825	mult_mapping_expansion:compound
Q01581	Q8TB92	mult_mapping_expansion:compound
Q01581	Q9BYC2	mult_mapping_expansion:compound
Q08426	P05091	mult_mapping_expansion:compound
Q08426	P11310	mult_mapping_expansion:compound
Q08426	P16219	mult_mapping_expansion:compound
Q08426	P26440	mult_mapping_expansion:compound
Q08426	P30837	mult_mapping_expansion:compound
Q08426	P45954	mult_mapping_expansion:compound
Q08426	P49189	mult_mapping_expansion:compound
Q08426	P49419	mult_mapping_expansion:compound
Q08426	P51648	mult_mapping_expansion:compound
Q08426	Q02252	mult_mapping_expansion:compound
Q08426	Q08426	mult_mapping_expansion:compound
Q08426	Q16836	mult_mapping_expansion:compound
Q08426	Q6NVY1	mult_mapping_expansion:compound
Q08426	Q99714	mult_mapping_expansion:compound
Q13825	Q96RQ3	mult_mapping_expansion:compound
Q13825	Q9HCC0	mult_mapping_expansion:compound
Q16836	P05091	mult_mapping_expansion:compound
Q16836	P30837	mult_mapping_expansion:compound
Q16836	P49189	mult_mapping_expansion:compound
Q16836	P49419	mult_mapping_expansion:compound
Q16836	P51648	mult_mapping_expansion:compound
Q16836	Q02252	mult_mapping_expansion:compound
Q16836	Q6NVY1	mult_mapping_expansion:compound
Q4G176	P05091	mult_mapping_expansion:compound
Q4G176	P30837	mult_mapping_expansion:compound
Q4G176	P49189	mult_mapping_expansion:compound
Q4G176	P49419	mult_mapping_expansion:compound
Q4G176	P51648	mult_mapping_expansion:compound
Q4G176	Q06278	one_to_one_mapping:compound
Q6NVY1	P30084	mult_mapping_expansion:compound
Q6NVY1	P40939	mult_mapping_expansion:compound
Q6NVY1	Q08426	mult_mapping_expansion:compound
Q86V21	P24752	mult_mapping_expansion:compound
Q86V21	P35914	mult_mapping_expansion:compound
Q86V21	P54868	mult_mapping_expansion:compound
Q86V21	Q01581	mult_mapping_expansion:compound
Q86V21	Q8TB92	mult_mapping_expansion:compound
Q86V21	Q9BWD1	mult_mapping_expansion:compound
Q8TB92	P09110	mult_mapping_expansion:compound
Q8TB92	P42765	mult_mapping_expansion:compound
Q8TB92	P55084	mult_mapping_expansion:compound
Q8TB92	Q13825	mult_mapping_expansion:compound
Q96RQ3	P11310	mult_mapping_expansion:compound
Q96RQ3	P26440	mult_mapping_expansion:compound
Q96RQ3	P30084	mult_mapping_expansion:compound
Q96RQ3	P40939	mult_mapping_expansion:compound
Q96RQ3	Q08426	mult_mapping_expansion:compound
Q9BWD1	P09110	mult_mapping_expansion:compound
Q9BWD1	P35914	mult_mapping_expansion:compound
Q9BWD1	P42765	mult_mapping_expansion:compound
Q9BWD1	P54868	mult_mapping_expansion:compound
Q9BWD1	P55084	mult_mapping_expansion:compound
Q9BWD1	P55809	mult_mapping_expansion:compound
Q9BWD1	Q01581	mult_mapping_expansion:compound
Q9BWD1	Q8TB92	mult_mapping_expansion:compound
Q9BWD1	Q9BYC2	mult_mapping_expansion:compound
Q9BYC2	P35914	mult_mapping_expansion:compound
Q9BYC2	Q8TB92	mult_mapping_expansion:compound
Q9BYV1	P80404	one_to_one_mapping:compound
Q9HCC0	P11310	mult_mapping_expansion:compound
Q9HCC0	P26440	mult_mapping_expansion:compound
Q9HCC0	P30084	mult_mapping_expansion:compound
Q9HCC0	P40939	mult_mapping_expansion:compound
Q9HCC0	Q08426	mult_mapping_expansion:compound
Q9UKU7	P30084	mult_mapping_expansion:compound
Q9UKU7	P40939	mult_mapping_expansion:compound
Q9UKU7	Q08426	mult_mapping_expansion:compound
