#node1	node2	edge_expansion:relation_type
O00418	P13639	one_to_one_mapping:inhibition
O14654	O00329	mult_mapping_expansion:activation
O14654	O00459	mult_mapping_expansion:activation
O14654	P27986	mult_mapping_expansion:activation
O14654	P42336	mult_mapping_expansion:activation
O14654	P42338	mult_mapping_expansion:activation
O14654	Q92569	mult_mapping_expansion:activation
O15530	P31749	mult_mapping_expansion:activation|phosphorylation
O15530	P31751	mult_mapping_expansion:activation|phosphorylation
O15530	Q9Y243	mult_mapping_expansion:activation|phosphorylation
O43318	O43741	mult_mapping_expansion:activation|phosphorylation
O43318	P54619	mult_mapping_expansion:activation|phosphorylation
O43318	P54646	mult_mapping_expansion:activation|phosphorylation
O43318	Q13131	mult_mapping_expansion:activation|phosphorylation
O43318	Q9UGI9	mult_mapping_expansion:activation|phosphorylation
O43318	Q9UGJ0	mult_mapping_expansion:activation|phosphorylation
O43318	Q9Y478	mult_mapping_expansion:activation|phosphorylation
O43741	O00763	mult_mapping_expansion:inhibition|phosphorylation
O43741	O60825	mult_mapping_expansion:activation|phosphorylation
O43741	O95822	mult_mapping_expansion:activation|phosphorylation
O43741	P04035	mult_mapping_expansion:inhibition|phosphorylation
O43741	P13569	mult_mapping_expansion:inhibition|phosphorylation
O43741	P13807	mult_mapping_expansion:inhibition|phosphorylation
O43741	P16118	mult_mapping_expansion:activation|phosphorylation
O43741	P16671	mult_mapping_expansion:activation|indirect effect
O43741	P36956	mult_mapping_expansion:indirect effect|inhibition
O43741	P42345	mult_mapping_expansion:inhibition|phosphorylation
O43741	P49815	mult_mapping_expansion:activation|phosphorylation
O43741	P54840	mult_mapping_expansion:inhibition|phosphorylation
O43741	Q05469	mult_mapping_expansion:inhibition|phosphorylation
O43741	Q13085	mult_mapping_expansion:inhibition|phosphorylation
O43741	Q15717	mult_mapping_expansion:inhibition
O43741	Q16875	mult_mapping_expansion:activation|phosphorylation
O43741	Q16877	mult_mapping_expansion:activation|phosphorylation
O43741	Q53ET0	mult_mapping_expansion:inhibition|phosphorylation
O43741	Q86TI0	mult_mapping_expansion:inhibition|phosphorylation
O43741	Q8N122	mult_mapping_expansion:inhibition|phosphorylation
