#node1	node2	edge_expansion:relation_type
A4D0S4	P05556	mult_mapping_expansion:activation
O00548	P46531	mult_mapping_expansion:activation
O00548	Q04721	mult_mapping_expansion:activation
O00548	Q99466	mult_mapping_expansion:activation
O00548	Q9UM47	mult_mapping_expansion:activation
O14640	O75474	mult_mapping_expansion:binding/association
O14640	P49841	mult_mapping_expansion:inhibition
O14640	Q92837	mult_mapping_expansion:binding/association
O14641	O75474	mult_mapping_expansion:binding/association
O14641	P49841	mult_mapping_expansion:inhibition
O14641	Q92837	mult_mapping_expansion:binding/association
O14920	P25963	mult_mapping_expansion:activation|phosphorylation
O15111	P25963	mult_mapping_expansion:activation|phosphorylation
O15230	P05556	mult_mapping_expansion:activation
O15520	P11362	mult_mapping_expansion:activation
O15520	P21802	mult_mapping_expansion:activation
O15520	P22455	mult_mapping_expansion:activation
O15520	P22607	mult_mapping_expansion:activation
O43320	P11362	mult_mapping_expansion:activation
O43320	P21802	mult_mapping_expansion:activation
O43320	P22455	mult_mapping_expansion:activation
O43320	P22607	mult_mapping_expansion:activation
O60258	P11362	mult_mapping_expansion:activation
O60258	P21802	mult_mapping_expansion:activation
O60258	P22455	mult_mapping_expansion:activation
O60258	P22607	mult_mapping_expansion:activation
O60674	P40763	mult_mapping_expansion:activation|phosphorylation
O60674	P42224	mult_mapping_expansion:activation|phosphorylation
O60674	P42226	mult_mapping_expansion:activation|phosphorylation
O60674	P42229	mult_mapping_expansion:activation|phosphorylation
O60674	P51692	mult_mapping_expansion:activation|phosphorylation
O60674	P52630	mult_mapping_expansion:activation|phosphorylation
O60674	Q14765	mult_mapping_expansion:activation|phosphorylation
O75474	O14640	mult_mapping_expansion:binding/association
O75474	O14641	mult_mapping_expansion:binding/association
O75474	Q92997	mult_mapping_expansion:binding/association
O76093	P11362	mult_mapping_expansion:activation
O76093	P21802	mult_mapping_expansion:activation
O76093	P22455	mult_mapping_expansion:activation
O76093	P22607	mult_mapping_expansion:activation
O95267	P01111	mult_mapping_expansion:activation
O95267	P01112	mult_mapping_expansion:activation
O95267	P01116	mult_mapping_expansion:activation
O95750	P11362	mult_mapping_expansion:activation
O95750	P21802	mult_mapping_expansion:activation
O95750	P22455	mult_mapping_expansion:activation
O95750	P22607	mult_mapping_expansion:activation
P00519	P22681	mult_mapping_expansion:activation|phosphorylation
P00519	P42229	mult_mapping_expansion:activation
P00519	P51692	mult_mapping_expansion:activation
P00734	P24530	mult_mapping_expansion:activation
P00734	P25101	mult_mapping_expansion:activation
P00734	P25116	mult_mapping_expansion:activation
P00734	P30411	mult_mapping_expansion:activation
P00734	P30556	mult_mapping_expansion:activation
P00734	P43657	mult_mapping_expansion:activation
P00734	P46663	mult_mapping_expansion:activation
P00734	Q92633	mult_mapping_expansion:activation
P00734	Q96RI0	mult_mapping_expansion:activation
P00734	Q99677	mult_mapping_expansion:activation
P00734	Q9H1C0	mult_mapping_expansion:activation
P00734	Q9HBW0	mult_mapping_expansion:activation
P00734	Q9UBY5	mult_mapping_expansion:activation
P01019	P24530	mult_mapping_expansion:activation
P01019	P25101	mult_mapping_expansion:activation
P01019	P25116	mult_mapping_expansion:activation
P01019	P30411	mult_mapping_expansion:activation
P01019	P30556	mult_mapping_expansion:activation
P01019	P43657	mult_mapping_expansion:activation
P01019	P46663	mult_mapping_expansion:activation
P01019	Q92633	mult_mapping_expansion:activation
P01019	Q96RI0	mult_mapping_expansion:activation
P01019	Q99677	mult_mapping_expansion:activation
P01019	Q9H1C0	mult_mapping_expansion:activation
P01019	Q9HBW0	mult_mapping_expansion:activation
P01019	Q9UBY5	mult_mapping_expansion:activation
P01042	P24530	mult_mapping_expansion:activation
P01042	P25101	mult_mapping_expansion:activation
P01042	P30411	mult_mapping_expansion:activation
P01042	P46663	mult_mapping_expansion:activation
P01106	P61244	group_expansion
P01106	Q13105	mult_mapping_expansion:inhibition
P01111	O00329	mult_mapping_expansion:activation
P01111	O00459	mult_mapping_expansion:activation
P01111	P04049	mult_mapping_expansion:activation
P01111	P10398	mult_mapping_expansion:activation
P01111	P15056	mult_mapping_expansion:activation
P01111	P27986	mult_mapping_expansion:activation
P01111	P42336	mult_mapping_expansion:activation
P01111	P42338	mult_mapping_expansion:activation
P01111	Q12967	mult_mapping_expansion:activation
P01111	Q92569	mult_mapping_expansion:activation
P01112	O00329	mult_mapping_expansion:activation
P01112	O00459	mult_mapping_expansion:activation
P01112	P04049	mult_mapping_expansion:activation
P01112	P10398	mult_mapping_expansion:activation
P01112	P15056	mult_mapping_expansion:activation
P01112	P27986	mult_mapping_expansion:activation
P01112	P42336	mult_mapping_expansion:activation
P01112	P42338	mult_mapping_expansion:activation
P01112	Q12967	mult_mapping_expansion:activation
P01112	Q92569	mult_mapping_expansion:activation
P01116	O00329	mult_mapping_expansion:activation
P01116	O00459	mult_mapping_expansion:activation
P01116	P04049	mult_mapping_expansion:activation
P01116	P10398	mult_mapping_expansion:activation
P01116	P15056	mult_mapping_expansion:activation
P01116	P27986	mult_mapping_expansion:activation
P01116	P42336	mult_mapping_expansion:activation
P01116	P42338	mult_mapping_expansion:activation
P01116	Q12967	mult_mapping_expansion:activation
P01116	Q92569	mult_mapping_expansion:activation
P01127	P09619	mult_mapping_expansion:activation
P01127	P16234	mult_mapping_expansion:activation
P01133	P00533	one_to_one_mapping:activation
P01137	P36897	mult_mapping_expansion:activation
P01137	P37173	mult_mapping_expansion:activation
P01344	P08069	mult_mapping_expansion:activation
P01562	P01589	mult_mapping_expansion:activation
P01562	P08887	mult_mapping_expansion:activation
P01562	P14784	mult_mapping_expansion:activation
P01562	P15260	mult_mapping_expansion:activation
P01562	P16871	mult_mapping_expansion:activation
P01562	P17181	mult_mapping_expansion:activation
P01562	P19235	mult_mapping_expansion:activation
P01562	P24394	mult_mapping_expansion:activation
P01562	P26951	mult_mapping_expansion:activation
P01562	P31785	mult_mapping_expansion:activation
P01562	P32927	mult_mapping_expansion:activation
P01562	P38484	mult_mapping_expansion:activation
P01562	P40189	mult_mapping_expansion:activation
P01562	P42701	mult_mapping_expansion:activation
P01562	P48551	mult_mapping_expansion:activation
P01562	P78552	mult_mapping_expansion:activation
P01562	Q01344	mult_mapping_expansion:activation
