#node1	node2	node1type	node2type	relation_type
P04156	P06241	gene	gene	activation
	P31948	gene	gene	activation
	P11047	gene	gene	binding/association
P11047		gene	gene	binding/association
P36507|Q02750	P27361|P28482	gene	gene	activation
P27361|P28482	P19419	gene	gene	activation
	O15394|P13591	gene	gene	binding/association
O15394|P13591		gene	gene	binding/association
P04156	P36507|Q02750	gene	gene	activation|indirect effect
P04156	P11021	gene	gene	binding/association
P11021	P04156	gene	gene	binding/association
P04156	P46531	gene	gene	activation|indirect effect
	P00441	gene	gene	activation|indirect effect
	Q07812	gene	gene	indirect effect|inhibition
